Sample	Tool	accuracy_bp	accuracy_seq	adjusted_rand_index_bp	adjusted_rand_index_seq	binning type	f1_score_bp	f1_score_bp_cami1	f1_score_per_bp	f1_score_per_seq	f1_score_seq	f1_score_seq_cami1	misclassification_bp	misclassification_seq	percentage_of_assigned_bps	percentage_of_assigned_seqs	precision_avg_bp	precision_avg_bp_sem	precision_avg_bp_var	precision_avg_seq	precision_avg_seq_sem	precision_weighted_bp	precision_weighted_seq	rand_index_bp	rand_index_seq	rank	recall_avg_bp	recall_avg_bp_cami1	recall_avg_bp_sem	recall_avg_bp_sem_cami1	recall_avg_bp_var	recall_avg_bp_var_cami1	recall_avg_seq	recall_avg_seq_cami1	recall_avg_seq_sem	recall_avg_seq_sem_cami1	recall_weighted_bp	recall_weighted_seq	unifrac_bp	unifrac_seq
as_sample_10	GS	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		
as_sample_10	MaxBin2	0.1693210093021118	0.008005146287675428	0.795200714772858	0.45691203842447653	genome	0.18365584728450096	0.1709732777953037	0.29005903345177836	0.019883905519298067	0.15373343429373448	0.1337548316224425	0.2409457028536256	0.5123501823866596	0.2230683759233897	0.016415768033820416	0.66305197772405	0.04841911993696597	0.08439880231693064	0.3865279408185605	0.04500793226899344	0.7590542971463744	0.4876498176133403	0.9862835957475828	0.9562116022010022	NA	0.1065898502456415	0.09813969291378648	0.018421967164420145	0.018217889801142678	0.06821314371560178	0.06803775930534856	0.09594722110819226	0.08086953656711332	0.017169516958812754	0.016522014579247638	0.1792847477726576	0.010148862530132644		
as_sample_10	CONCOCT	0.18337320032829924	0.009076148975447349	0.2896130154281038	0.3569135694908995	genome	0.3437015707641268	0.16685995706939638	0.4055251404240763	0.037370991453002864	0.27193477382968545	0.13453978373803452	0.5618412100838291	0.6518114990811237	0.4185085511199774	0.02606676829216132	0.629539877872146	0.04861929767822676	0.12764714976309743	0.57771053580688	0.052112307611264334	0.43815878991617085	0.3481885009188763	0.9265061159651248	0.938114236030723	NA	0.23637644902800642	0.09617569386918473	0.026855425660793436	0.018345025393618878	0.14496399137190294	0.07235609068889211	0.17781779331235953	0.07613524850903464	0.022942592086327266	0.015495236415836337	0.37741558686058846	0.01974511504724559		
as_sample_10	MetaBAT2	0.15896963226969107	0.005457665453662025	0.2981899300236669	0.3480231371339912	genome	0.3395113536938666	0.1622678341396619	0.39223783909037213	0.028611735481395586	0.2635719203008559	0.12838793612934024	0.569402795316158	0.6470458065943793	0.3691840786249683	0.01546281516307128	0.7362924156183968	0.06975689171567992	0.11678457460399422	0.6226376004725188	0.08828132027468856	0.43059720468384194	0.35295419340562073	0.9112012571518641	0.8892458123096161	NA	0.22062085089416308	0.0911814284944366	0.026520351435004575	0.018943772858133024	0.141369137087466	0.07284990561040908	0.16716842170515314	0.07157316499117083	0.022502691081575835	0.015745646423911075	0.3601538560034887	0.014910205150051583		
as_sample_10	COMEBin	0.3147663303556404	0.012015418332623323	0.6656208432239777	0.42545724464489515	genome	0.3062172227106729	0.25449518000873184	0.4309688028460725	0.033541484608448045	0.22398375037385873	0.206622768445863	0.237594278854234	0.5322365791927535	0.41285934985193995	0.025686955837392365	0.6836352407560399	0.032395613315807384	0.10809600349705362	0.6117350167618691	0.03740763800886158	0.762405721145766	0.4677634208072466	0.9880925984869013	0.9584913979484287	NA	0.19729536009147516	0.15634951047302487	0.023889293688547256	0.019208712958234935	0.11471036894047043	0.09335058733850125	0.13708912828450684	0.12430419696210085	0.019155733897609082	0.015991794639358056	0.30038423176825735	0.01739438390827016		
as_sample_10	SemiBin2	0.28680250772751603	0.011041935058913703	0.6762526195214743	0.4932384804356087	genome	0.2963258982161845	0.2647887130287567	0.428059513018967	0.024382689465655992	0.21615785423899234	0.19924501661023297	0.27559460611683007	0.48614649681528666	0.3959143735665926	0.021488488431973367	0.6698754499211066	0.035519929852919026	0.0857932483394276	0.4766164348838269	0.04462434377934208	0.7244053938831699	0.5138535031847133	0.986299797527011	0.9685551331473408	NA	0.19024026075808662	0.16500623040515378	0.024375661697170016	0.02245149499042597	0.11942874951815118	0.1083749698706013	0.13977462766884452	0.12594824848632044	0.02017636558778547	0.018531982116227023	0.3037847003528719	0.012487617600714459		
as_sample_10	MetaBinner	0.21561141865154818	0.0021916205160316784	0.9524586339303117	0.8532576594370521	genome	0.24318173702731546	0.2377442077954286	0.35904222385675044	0.005449566096458524	0.16665378775774514	0.1638966447735187	0.04233864396152354	0.3157051282051282	0.22514369750018967	0.0032027428618355207	0.9548998575152522	0.007414974995825998	0.0017044374798504674	0.3456752826246096	0.06797156511679955	0.9576613560384765	0.6842948717948718	0.996602898332252	0.9755946589190844	NA	0.1393325939732847	0.13577414695062157	0.022948096156423323	0.023036922353591557	0.10584963855809465	0.10667065809660668	0.10979311795860294	0.10741226257682425	0.01939369637466605	0.019443450109133103	0.22093759163359433	0.0027356761944845073		
as_sample_10	binny	0.21577433764466483	0.0036680986622731606	0.9812767067107677	0.8282313650720547	genome	0.24131300904435754	0.2371020044442949	0.3588605185361364	0.008166717909539599	0.19016773008906115	0.18828285335887893	0.021238083612196923	0.13198380566801615	0.22045640929818439	0.004225841276032979	0.9752039795745708	0.00982063062578901	0.002796898790757365	0.874431421030387	0.051736447335491036	0.9787619163878031	0.8680161943319838	0.9986283001863452	0.9576120411318979	NA	0.1376924124249176	0.13495710889478407	0.023324301637054935	0.023382048888060312	0.10934863241812103	0.10989076225093213	0.10668451910749217	0.10549952210729674	0.01932216597559401	0.019348754135571036	0.21970793081308934	0.004102658858270074		
as_sample_11	GS	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		
as_sample_11	MaxBin2	0.39251652981015434	0.15886371429325033	0.828687620424864	0.7650366571719664	genome	0.418580396773921	0.3910243466387886	0.5448284094247131	0.2707829272352224	0.3743722222128919	0.3139358923520073	0.12617145175304	0.20013280212483398	0.4491916985289682	0.19861261308785905	0.7207604166420235	0.04786486719926149	0.09393286599212045	0.5855211415055959	0.05810123740972744	0.87382854824696	0.799867197875166	0.9856855080818425	0.9756964879667587	NA	0.2949303502032089	0.268287304701592	0.04536928705576115	0.04334154009850156	0.15643628780405228	0.15403610604502155	0.27514884979916004	0.21446124314643794	0.03678126119803515	0.035753917377766585	0.39580583932639857	0.16297839791100677		
